,Артикул,Бренд,Для кого,Примерный вес,Тип металла,Проба,Покрытие,Тип вставки,Форма вставки,Количество,Цвет,Вес,Цветность,Чистота,Огранка,Тип вставки 2,Форма вставки 2,Количество 2,Цвет 2,Вес 2,Цветность 2,Чистота 2,Огранка 2,Цена со скидкой,Цена без скидки,Номер страницы,Ширина кольца,Ширина,Высота,Длина,Размеры вставки,Коллекция,Тип вставки 3,Форма вставки 3,Количество 3,Цвет 3,Вес 3,Цветность 3,Чистота 3,Тип вставки 4,Форма вставки 4,Количество 4,Цвет 4,Вес 4,Размеры вставки 2,Тип вставки 5,Форма вставки 5,Количество 5,Цвет 5,Вес 5,Размеры вставки 3,Размеры вставки 4,Размеры вставки 5,Тип вставки 6,Форма вставки 6,Количество 6,Цвет 6,Вес 6,Размеры вставки 6,Тип вставки 7,Форма вставки 7,Количество 7,Цвет 7,Вес 7,Размеры вставки 7,Тип вставки 8,Форма вставки 8,Количество 8,Цвет 8,Вес 8,Размеры вставки 8,Тип вставки 9,Форма вставки 9,Количество 9,Цвет 9,Вес 9,Размеры вставки 9,Огранка 3,Цветность 4,Чистота 4,Огранка 4,Тип вставки 10,Форма вставки 10,Количество 10,Цвет 10,Вес 10,Размеры вставки 10,Тип вставки 11,Форма вставки 11,Количество 11,Цвет 11,Вес 11,Размеры вставки 11,Тип вставки 12,Форма вставки 12,Количество 12,Цвет 12,Вес 12,Размеры вставки 12,Тип вставки 13,Форма вставки 13,Количество 13,Цвет 13,Вес 13,Размеры вставки 13,Тип вставки 14,Форма вставки 14,Количество 14,Цвет 14,Вес 14,Размеры вставки 14,Цветность 5,Чистота 5,Цветность 6,Чистота 6,Цветность 7,Чистота 7,Огранка 5,Цветность 8,Чистота 8,Цветность 9,Чистота 9,Цветность 10,Чистота 10
52,3010522,SOKOLOV,Для женщин,2.11 г,Комбинированное золото,585.0,,Изумруд натуральный,Овал,1 шт,Зелёный,0.142 карат,3.0,3.0,,Бриллиант (природный),Круг,12 шт,Бесцветный,0.035 карат,2.0,3.0,,54000,119990,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,3010567,SOKOLOV,Для женщин,1.68 г,Красное золото,585.0,Родирование,Изумруд натуральный,Овал,1 шт,Зелёный,0.2 карат,3.0,3.0,,Бриллиант (природный),Круг,10 шт,Бесцветный,0.029 карат,2.0,3.0,,47250,104990,1,2 мм,8 мм,5 мм,8 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,3010587,SOKOLOV,Для женщин,2.17 г,Красное золото,585.0,Родирование,Изумруд натуральный,Круг,1 шт,Зелёный,0.236 карат,3.0,3.0,,Бриллиант (природный),Круг,14 шт,Бесцветный,0.052 карат,2.0,3.0,,54000,119990,1,2 мм,7 мм,6 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,3010648,SOKOLOV,Для женщин,1.72 г,Красное золото,585.0,Родирование,Изумруд натуральный,Круг,6 шт,Зелёный,0.108 карат,3.0,3.0,,Бриллиант (природный),Круг,19 шт,Бесцветный,0.07 карат,2.0,3.0,,58500,129990,1,1 мм,6 мм,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,9010152-5,SOKOLOV,Для женщин,2.6 г,Белое золото,585.0,Родирование,Бриллиант выращенный,Круг,1 шт,Бесцветный,0.375 карат,2.0,5.0,,,,,,,,,,85500,189990,1,2 мм,,,,,LAB CREATED DIAMONDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,9010154-5,SOKOLOV,Для женщин,2.7 г,Белое золото,585.0,Родирование,Бриллиант выращенный,Круг,1 шт,Бесцветный,0.42 карат,2.0,5.0,,,,,,,,,,105750,234990,1,2 мм,,,,,LAB CREATED DIAMONDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,9010155-5,SOKOLOV,Для женщин,3.08 г,Белое золото,585.0,Родирование,Бриллиант выращенный,Круг,1 шт,Бесцветный,0.515 карат,2.0,5.0,,,,,,,,,,121500,404990,1,2 мм,,,,,LAB CREATED DIAMONDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,9010142-5,SOKOLOV,Для женщин,3.01 г,Белое золото,585.0,Родирование,Бриллиант выращенный,Круг,1 шт,Бесцветный,0.935 карат,2.0,5.0,,,,,,,,,,200250,444990,1,2 мм,7 мм,6 мм,,,LAB CREATED DIAMONDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,1012634-3-5,SOKOLOV,Для женщин,1.66 г,Белое золото,585.0,Родирование,Бриллиант выращенный,Круг,1 шт,Бесцветный,0.226 карат,2.0,5.0,,,,,,,,,,51750,114990,1,1 мм,,,,,LAB CREATED DIAMONDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1012632-3-5,SOKOLOV,Для женщин,3.51 г,Белое золото,585.0,Родирование,Бриллиант выращенный,Круг,106 шт,Бесцветный,0.53 карат,2.0,5.0,,,,,,,,,,94500,209990,1,3 мм,,,,,LAB CREATED DIAMONDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,9010171-5,SOKOLOV,Для женщин,2.45 г,Белое золото,585.0,Родирование,Бриллиант выращенный,Круг,1 шт,Бесцветный,0.42 карат,2.0,5.0,,Бриллиант выращенный,Круг,44 шт,Бесцветный,0.22 карат,2.0,5.0,,117000,259990,1,2 мм,,,,,LAB CREATED DIAMONDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,9010153-5,SOKOLOV,Для женщин,3.23 г,Белое золото,585.0,Родирование,Бриллиант выращенный,Круг,1 шт,Бесцветный,0.515 карат,2.0,5.0,,Бриллиант выращенный,Круг,20 шт,Бесцветный,0.15 карат,2.0,5.0,,148500,329990,1,2 мм,,,,,LAB CREATED DIAMONDS,Бриллиант выращенный,Круг,4 шт,Бесцветный,0.016 карат,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1012644-3-5,SOKOLOV,Для женщин,1.62 г,Белое золото,585.0,Родирование,Бриллиант выращенный,Принцесса,1 шт,Бесцветный,0.265 карат,2.0,5.0,,,,,,,,,,74250,164990,1,2 мм,,,,,LAB CREATED DIAMONDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1012516-3-5,SOKOLOV,Для женщин,1.93 г,Белое золото,585.0,Родирование,Бриллиант выращенный,Принцесса,1 шт,Бесцветный,0.257 карат,2.0,5.0,,,,,,,,,,76500,169990,1,1 мм,7 мм,3 мм,,,LAB CREATED DIAMONDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1012073-3-5,SOKOLOV,Для женщин,3.79 г,Белое золото,585.0,Родирование,Бриллиант выращенный,Круг,7 шт,Бесцветный,0.469 карат,2.0,5.0,,,,,,,,,,103500,229990,1,,,,,,LAB CREATED DIAMONDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1012077-3-5,SOKOLOV,Для женщин,2.63 г,Белое золото,585.0,Родирование,Бриллиант выращенный,Круг,24 шт,Бесцветный,1.608 карат,2.0,5.0,,,,,,,,,,164250,364990,1,,,,,,LAB CREATED DIAMONDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1012285-3-5,SOKOLOV,Для женщин,3.04 г,Белое золото,585.0,Родирование,Бриллиант выращенный,Круг,5 шт,Бесцветный,1.4 карат,2.0,5.0,,,,,,,,,,211500,469990,1,2 мм,4 мм,4 мм,19 мм,,LAB CREATED DIAMONDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1011615,SOKOLOV,Для женщин,3.66 г,Красное золото,585.0,Родирование,Бриллиант (природный),Круг,12 шт,Бесцветный,0.044 карат,2.0,3.0,,,,,,,,,,76500,169990,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,7010078,SOKOLOV,Для женщин,2.66 г,Красное золото,585.0,"Алмазная грань,  Родирование",Бриллиант (природный),Круг,16 шт,Бесцветный,0.059 карат,2.0,3.0,,Черный бриллиант,Круг,7 шт,Чёрный,0.03 карат,7.0,6.0,,60750,134990,2,3 мм,5 мм,2 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1011545,SOKOLOV,Для женщин,1.35 г,Красное золото,585.0,Родирование,Бриллиант (природный),Круг,57 шт,Бесцветный,0.165 карат,2.0,3.0,,,,,,,,,,56250,124990,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,1011559,SOKOLOV,Для женщин,1.48 г,Комбинированное золото,585.0,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.036 карат,3.0,6.0,,,,,,,,,,39600,87990,2,2 мм,4 мм,4 мм,4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,1011553,SOKOLOV,Для женщин,1.34 г,Красное золото,585.0,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.021 карат,3.0,6.0,,,,,,,,,,18990,18990,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1011280,SOKOLOV,Для женщин,2.01 г,Красное золото,585.0,,Бриллиант (природный),Круг,18 шт,Бесцветный,0.052 карат,2.0,3.0,,Бриллиант (природный),Круг,6 шт,Бесцветный,0.047 карат,2.0,3.0,,65250,144990,2,,,,,,,Бриллиант (природный),Круг,1 шт,Бесцветный,0.03 карат,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,1011980,SOKOLOV,Для женщин,1.52 г,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,18 шт,Бесцветный,0.052 карат,2.0,3.0,,Бриллиант (природный),Круг,1 шт,Бесцветный,0.03 карат,3.0,6.0,,47250,104990,2,2 мм,4 мм,4 мм,4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1011981,SOKOLOV,Для женщин,1.52 г,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,14 шт,Бесцветный,0.041 карат,2.0,3.0,,Бриллиант (природный),Круг,1 шт,Бесцветный,0.03 карат,3.0,6.0,,45000,99990,2,2 мм,5 мм,4 мм,5 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,1011069,SOKOLOV,Для женщин,1.67 г,Белое золото,585.0,,Бриллиант (природный),Круг,1 шт,Бесцветный,0.109 карат,3.0,6.0,А,,,,,,,,,67500,149990,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1011501,SOKOLOV,Для женщин,1.2 г,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.157 карат,3.0,6.0,,,,,,,,,,87750,194990,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,1012031,SOKOLOV,Для женщин,1.28 г,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.03 карат,3.0,6.0,,,,,,,,,,32850,72990,2,2 мм,4 мм,4 мм,4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,1011909-3,SOKOLOV,Для женщин,1.15 г,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.11 карат,3.0,6.0,,,,,,,,,,60750,134990,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,1011496,SOKOLOV,Для женщин,1.09 г,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.08 карат,3.0,7.0,,,,,,,,,,47250,104990,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,1011396-3,SOKOLOV,Для женщин,0.75 г,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,15 шт,Бесцветный,0.044 карат,2.0,3.0,,,,,,,,,,21600,47990,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,1011799,SOKOLOV,Для женщин,1.72 г,Белое золото,585.0,,Бриллиант (природный),Круг,26 шт,Бесцветный,0.075 карат,2.0,3.0,,,,,,,,,,47250,104990,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,1011771,SOKOLOV,Для женщин,1.61 г,Белое золото,585.0,,Бриллиант (природный),Круг,7 шт,Бесцветный,0.148 карат,3.0,6.0,,,,,,,,,,34800,115990,2,2 мм,3 мм,3 мм,15 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,1011500,SOKOLOV,Для женщин,1.22 г,Красное золото,585.0,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.157 карат,3.0,6.0,,,,,,,,,,87750,194990,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,1011532,SOKOLOV,Для женщин,1.49 г,Комбинированное золото,585.0,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.1 карат,3.0,7.0,,,,,,,,,,65250,144990,2,2 мм,4 мм,4 мм,4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,1011798,SOKOLOV,Для женщин,1.73 г,Красное золото,585.0,,Бриллиант (природный),Круг,26 шт,Бесцветный,0.075 карат,2.0,3.0,,,,,,,,,,47250,104990,2,2 мм,3 мм,2 мм,18 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,1011548,SOKOLOV,Для женщин,1.39 г,Красное золото,585.0,Родирование,Бриллиант (природный),Круг,38 шт,Бесцветный,0.11 карат,2.0,3.0,,,,,,,,,,47250,104990,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1011804,SOKOLOV,Для женщин,0.88 г,Комбинированное золото,585.0,Родирование,Бриллиант (природный),Круг,1 шт,Бесцветный,0.01 карат,3.0,6.0,,,,,,,,,,12990,12990,2,1 мм,3 мм,2 мм,14 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,019467,SOKOLOV,Для женщин,1.21 г,Красное золото,585.0,Родирование,Фианит,Круг,12 шт,Бесцветный,0.12 карат,,,,,,,,,,,,8990,8990,2,1 мм,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,019424,SOKOLOV,Для женщин,1.09 г,Красное золото,585.0,Алмазная грань,Без вставок,,,,,,,,,,,,,,,,7990,7990,2,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,716384,SOKOLOV,Для женщин,1.79 г,Красное золото,585.0,Родирование,Горный хрусталь,Антик,1 шт,Бесцветный,0.532 карат,,,,,,,,,,,,21000,69990,2,2 мм,,,,5 мм * 5 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,791258,SOKOLOV,Для женщин,2.03 г,Красное золото,585.0,,Жемчуг натуральный,Круг,4 шт,Белый,2.067 карат,,,,,,,,,,,,18000,59990,2,1 мм,,,,"4 мм * 4, 5 мм",TrendBook SS 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,791264,SOKOLOV,Для женщин,3.04 г,Красное золото,585.0,Родирование,Жемчуг натуральный,Круг,2 шт,Белый,3.56 карат,,,,Жемчуг натуральный,Круг,4 шт,Белый,2.067 карат,,,,14400,47990,2,2 мм,,,,"6 мм * 6, 5 мм",TrendBook SS 2024,Фианит,Круг,14 шт,Бесцветный,0.14 карат,,,,,,,,"4 мм * 4, 5 мм",,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,71-00004,SOKOLOV,Для женщин,1.55 г,Красное золото,585.0,,Бриллиант (природный),Круг,6 шт,Бесцветный,0.017 карат,2.0,3.0,,Топаз,Круг,1 шт,Голубой,0.995 карат,,,,24750,54990,2,2 мм,6 мм,5 мм,6 мм,6 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,71-00006,SOKOLOV,Для женщин,1.88 г,Красное золото,585.0,,Бриллиант (природный),Круг,12 шт,Бесцветный,0.044 карат,2.0,3.0,,Топаз,Антик,1 шт,Голубой,1.774 карат,,,,28350,62990,2,2 мм,7 мм,6 мм,7 мм,7 мм * 7 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,71-00082,SOKOLOV,Для женщин,0.99 г,Красное золото,585.0,,Бриллиант (природный),Круг,4 шт,Бесцветный,0.015 карат,2.0,3.0,,Топаз,Груша,1 шт,Голубой,0.475 карат,,,,15750,34990,2,1 мм,7 мм,3 мм,6 мм,6 мм * 4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,71-00098,SOKOLOV,Для женщин,1.19 г,Красное золото,585.0,,Бриллиант (природный),Круг,6 шт,Бесцветный,0.032 карат,2.0,3.0,,Топаз,Октагон,1 шт,Голубой,0.397 карат,,,,22500,49990,2,2 мм,4 мм,4 мм,9 мм,4 мм * 4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,71-00015,SOKOLOV,Для женщин,1.72 г,Красное золото,585.0,,Бриллиант (природный),Круг,12 шт,Бесцветный,0.044 карат,2.0,3.0,,Празиолит,Антик,1 шт,Зелёный,1.425 карат,,,,28350,62990,2,2 мм,7 мм,6 мм,7 мм,7 мм * 7 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,71-00017,SOKOLOV,Для женщин,1.72 г,Красное золото,585.0,,Бриллиант (природный),Круг,20 шт,Бесцветный,0.058 карат,2.0,3.0,,Празиолит,Антик,1 шт,Зелёный,1.425 карат,,,,27000,59990,2,1 мм,9 мм,5 мм,,7 мм * 7 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,71-00013,SOKOLOV,Для женщин,1.84 г,Красное золото,585.0,,Коньячный бриллиант,Круг,12 шт,Коньячный,0.074 карат,7.0,5.0,,Гранат,Антик,1 шт,Красный,1.734 карат,,,,32850,72990,2,2 мм,7 мм,5 мм,7 мм,7 мм * 7 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,71-00030,SOKOLOV,Для женщин,1.25 г,Красное золото,585.0,,Бриллиант (природный),Круг,6 шт,Бесцветный,0.022 карат,2.0,3.0,,Гранат,Овал,1 шт,Красный,0.551 карат,,,,22500,49990,2,1 мм,6 мм,3 мм,,6 мм * 4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,71-00282,SOKOLOV,Для женщин,2.27 г,Красное золото,585.0,,Коньячный бриллиант,Круг,6 шт,Коньячный,0.037 карат,7.0,5.0,,Гранат,Маркиз,9 шт,Красный,1.613 карат,,,,38250,84990,2,1 мм,,,,"5 мм * 2, 5 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,716907,SOKOLOV,Для женщин,1.35 г,Красное золото,585.0,,Гранат,Груша,2 шт,Красный,0.506 карат,,,,Гранат,Овал,1 шт,Красный,0.551 карат,,,,17100,37990,2,1 мм,6 мм,3 мм,14 мм,5 мм * 3 мм,,,,,,,,,,,,,,6 мм * 4 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,716094,SOKOLOV,Для женщин,1.64 г,Красное золото,585.0,,Агат,Круг,1 шт,Чёрный,0.893 карат,,,,,,,,,,,,28350,62990,2,2 мм,10 мм,3 мм,10 мм,"8, 4 мм",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,716774,SOKOLOV,Для женщин,1.48 г,Красное золото,585.0,,Раухтопаз,Круг,1 шт,Коричневый,0.763 карат,,,,,,,,,,,,21600,47990,2,1 мм,7 мм,4 мм,8 мм,6 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,716837,SOKOLOV,Для женщин,1.94 г,Красное золото,585.0,,Раухтопаз,Октагон,1 шт,Коричневый,1.393 карат,,,,,,,,,,,,29250,64990,2,1 мм,8 мм,5 мм,10 мм,8 мм * 6 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,017958-3,SOKOLOV,Для женщин,1.16 г,Белое золото,585.0,Родирование,Фианит,Круг,1 шт,Бесцветный,0.846 карат,,,,,,,,,,,,19350,42990,2,,,,,5 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,018006,SOKOLOV,Для женщин,1.76 г,Белое золото,585.0,Родирование,Фианит,Круг,79 шт,Бесцветный,0.672 карат,,,,,,,,,,,,28350,62990,2,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,018888-3,SOKOLOV,Для женщин,1.73 г,Белое золото,585.0,Родирование,Фианит,Круг,1 шт,Бесцветный,1.455 карат,,,,Фианит,Круг,2 шт,Бесцветный,0.033 карат,,,,24750,54990,2,1 мм,,,,6 мм,,Фианит,Круг,16 шт,Бесцветный,0.136 карат,,,,,,,,"1, 25 мм",,,,,,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
